S.no.,Name of the show,Year of release,No of seasons available,Language,Genre,IMDb rating,Age of viewers
460,The Dark Knights Return,2021,2,English,Action,8.0,13+
461,Wild Hearts,2019,1,English,Romance,7.0,All
462,Revenge of the Ruler,2020,2,English,Action,7.4,18+
463,Survivors Code,2021,1,Spanish,Action,7.2,16+
464,Endless Sky,2021,1,French,Adventure,7.6,13+
465,The Light of Hope,2020,1,English,Drama,7.5,All
466,Journey Beyond the Horizon,2020,1,Spanish,Adventure,7.3,13+
467,The Final Hour,2021,1,English,Thriller,7.8,18+
468,Stranger in the City,2020,1,English,Drama,6.8,16+
469,Dragon Rising,2021,1,Chinese,Fantasy,7.7,13+
470,The Magic Circle,2021,2,English,Fantasy,7.5,All
471,In the Shadows,2021,1,Spanish,Thriller,7.1,16+
472,The Brave Heart,2022,1,English,Action,7.2,13+
473,Whispers of the Sea,2020,2,English,Romance,7.4,13+
474,The Magic of Love,2021,1,French,Romance,7.5,All
475,Space Pioneers,2021,1,English,Sci-Fi,8.1,13+
476,The Shifting Sands,2021,1,Spanish,Action,7.2,16+
477,The Eternal War,2022,1,English,Action,7.9,18+
478,City of Chaos,2020,1,English,Thriller,7.3,16+
479,Frozen Secrets,2021,1,English,Fantasy,7.4,All
480,Midnight Runners,2022,1,English,Action,7.8,13+
481,Fall of the Empire,2021,1,French,Action,7.0,18+
482,The Vanishing Point,2020,2,English,Thriller,7.1,18+
483,Heart of the Dragon,2021,1,English,Adventure,8.0,13+
484,Chasing the Dream,2022,1,English,Drama,7.3,All
485,Summer of Love,2020,1,Spanish,Romance,7.2,13+
486,The Last Stand,2021,1,English,Action,8.1,16+
487,Secrets of the Forest,2022,1,English,Fantasy,7.4,All
488,Revolutionary Hearts,2021,1,English,Drama,7.2,13+
489,The Black Knight,2020,1,Spanish,Action,7.3,18+
490,Through the Fire,2022,1,English,Thriller,7.8,16+
491,Hidden Truths,2020,1,English,Drama,6.9,13+
492,The Ice Kingdom,2021,1,English,Fantasy,7.5,All
493,The Secret Society,2022,1,Spanish,Crime,7.4,16+
494,Silent Echoes,2021,1,French,Thriller,7.6,18+
495,The Great Heist,2021,2,English,Crime,7.3,16+
496,In the Depths,2022,1,Spanish,Action,7.8,18+
497,Chasing the Wind,2021,1,English,Drama,7.5,13+
498,Escape from the Island,2022,1,English,Adventure,7.2,13+
499,Fallen Kingdom,2021,1,French,Fantasy,7.0,16+
500,The Golden Rule,2021,1,Spanish,Romance,7.1,All
501,The Final Countdown,2022,1,English,Action,7.9,16+
502,Lost Treasure,2021,2,Spanish,Adventure,7.2,13+
503,Dark Secrets Revealed,2020,1,English,Thriller,7.6,18+
504,The Dragon's Lair,2021,1,English,Fantasy,7.4,All
505,Shadows of the Past,2020,2,French,Drama,6.9,16+
506,Midnight Escape,2021,1,English,Horror,7.3,18+
507,The Last Guardian,2021,1,English,Fantasy,8.0,13+
508,The Riddle of the Sphinx,2020,1,German,Adventure,7.2,13+
509,Firestorm,2021,1,English,Action,7.5,16+
510,Silent Night,2020,1,Spanish,Horror,7.1,18+
511,The Lost King,2022,1,English,Action,7.8,13+
512,Fool's Gold,2021,1,French,Adventure,7.3,16+
513,City of Lights,2020,1,English,Romance,6.8,All
514,The Dark Horizon,2021,2,Spanish,Thriller,7.4,16+
515,The Silver Arrow,2020,1,English,Action,7.6,13+
516,In the Depths of the Ocean,2021,1,French,Documentary,7.2,All
517,Quest for Freedom,2021,1,English,Action,7.9,13+
518,The Enchanted Kingdom,2020,1,Spanish,Fantasy,7.1,All
519,The Lost Artifact,2020,1,English,Adventure,7.3,13+
520,The Assassin's Code,2021,1,English,Crime,7.5,18+
521,Summer Dreams,2021,1,French,Romance,7.2,All
522,Escape from the City,2020,1,English,Thriller,7.0,16+
523,The Hidden Realm,2021,1,Spanish,Fantasy,7.3,13+
524,The Kings War,2022,1,English,Action,7.7,18+
525,The Phantom Stranger,2021,1,English,Thriller,7.5,16+
526,Chasing the Sun,2021,1,English,Adventure,7.6,13+
527,The Ghost Ship,2020,2,English,Horror,7.1,16+
528,The Wild Hunt,2021,1,French,Action,7.4,13+
529,Dark Enchantment,2020,1,Spanish,Fantasy,7.0,13+
530,The Missing Princess,2021,1,English,Fantasy,7.2,All
531,Falling Star,2021,1,English,Drama,7.0,13+
532,Secrets of the Forest,2021,1,English,Fantasy,7.5,All
533,The Golden Path,2022,1,English,Adventure,7.8,13+
534,The Silent Watcher,2021,1,Spanish,Thriller,7.4,18+
535,The Path to Glory,2021,1,English,Drama,7.3,16+
536,The Lost Expedition,2021,1,English,Adventure,7.6,13+
537,Into the Abyss,2021,1,French,Thriller,7.5,18+
538,Winter's End,2021,1,English,Action,7.2,13+
539,The Ice Fortress,2020,1,English,Fantasy,7.3,All
540,End of the Line,2021,1,English,Thriller,7.8,16+
541,The Warrior's Return,2020,1,Spanish,Action,7.5,13+
542,The Ice Queen,2021,1,English,Fantasy,7.1,All
543,The Secret Door,2021,2,English,Fantasy,7.7,13+
544,The Rebel Princess,2020,1,English,Action,7.3,16+
545,Through the Mist,2021,1,Spanish,Adventure,7.2,13+
546,The Eternal War,2022,1,French,Action,7.9,18+
547,The Final Strike,2021,1,English,Action,7.4,16+
548,Hidden Truths,2021,1,Spanish,Drama,6.8,13+
549,The Great Escape,2021,1,English,Action,7.8,13+
550,Secrets of the Tomb,2021,1,English,Thriller,7.2,18+
551,The Power of Fate,2020,1,Spanish,Action,7.1,13+
552,Return to the Kingdom,2020,1,English,Fantasy,7.5,All
553,The Secret of the Sea,2021,1,French,Adventure,7.6,13+
554,Through the Flames,2020,1,Spanish,Action,7.4,16+
555,The Great Heist,2021,2,English,Crime,7.8,18+
556,The Fallen Empire,2022,1,English,Action,7.9,16+
557,Into the Future,2021,1,English,Sci-Fi,8.0,13+
558,Love in the Air,2020,1,English,Romance,7.2,All
559,The Red Dragon,2021,1,English,Action,7.3,13+
560,The Hidden Truth,2020,2,French,Drama,7.1,16+
561,Chasing Shadows,2021,1,Spanish,Thriller,7.4,18+
562,The Awakening,2022,1,English,Fantasy,7.6,13+
563,The Legend Continues,2021,1,French,Action,7.2,16+
564,Winter's Curse,2020,1,English,Fantasy,7.1,All
565,The Phantom Knight,2021,1,Spanish,Action,7.5,13+
566,The Hidden World,2021,1,English,Action,7.8,13+
567,The Dark Queen,2022,1,English,Fantasy,7.7,All
568,Lost in the Wild,2021,1,French,Adventure,7.2,13+
569,The Dark Castle,2020,2,Spanish,Horror,7.4,18+
570,The Final Battle,2021,1,English,Action,7.9,18+
571,The Timekeeper,2022,1,English,Sci-Fi,8.0,13+
572,The Secret Keeper,2021,1,English,Crime,7.5,16+
573,The Forbidden Kingdom,2020,1,Spanish,Fantasy,7.2,All
574,Shattered Dreams,2020,1,English,Drama,6.9,16+
575,The Adventure Begins,2021,1,English,Adventure,7.4,13+
576,The Final Countdown,2021,1,Spanish,Action,7.3,16+
577,The Lost Island,2021,1,English,Adventure,7.6,13+
578,The Silent Witness,2020,1,French,Thriller,7.1,18+
579,The Storm is Coming,2020,2,English,Action,7.7,16+
580,City of Shadows,2021,1,English,Thriller,7.3,16+
581,The Dragon's Secret,2022,1,Spanish,Action,7.5,13+
582,The Last Hope,2021,1,English,Drama,7.2,18+
583,The Fallen Hero,2020,1,English,Action,7.1,13+
584,The White Knight,2021,1,French,Action,7.4,13+
585,Into the Abyss,2020,1,English,Fantasy,7.2,All
586,The Power of the Gods,2021,1,Spanish,Fantasy,7.8,13+
587,The Dark Age,2021,1,English,Action,7.5,18+
588,Chasing the Wind,2021,1,French,Drama,7.1,13+
589,The Princess's Curse,2020,1,English,Fantasy,7.6,All
590,End of the Road,2021,1,Spanish,Action,7.3,16+
591,The Final Hour,2021,2,English,Thriller,7.4,18+
592,The Desert King's Return,2020,1,English,Adventure,7.9,13+
593,The Heist of a Lifetime,2021,1,English,Crime,7.3,16+
594,The Eternal Flame,2021,1,French,Fantasy,7.5,All
595,The Last Samurai,2020,1,Spanish,Action,7.7,16+
596,The Awakening of the Beast,2021,1,English,Horror,7.4,18+
597,End of the Empire,2022,1,Spanish,Action,7.8,16+
598,The Fallen King,2020,1,English,Action,7.5,13+
599,Through the Tunnel,2021,1,French,Adventure,7.1,13+
600,The Prince's Quest,2020,1,English,Adventure,7.2,13+
601,The Lost World,2022,1,English,Action,7.6,13+
602,The Dark Journey,2021,1,Spanish,Thriller,7.7,18+
603,The Lions Roar,2021,1,English,Adventure,7.8,13+
604,The Warrior Princess,2021,1,French,Action,7.4,13+
605,The Silent River,2021,1,English,Drama,7.1,16+
606,Chasing Dreams,2021,1,Spanish,Romance,7.3,13+
607,The Secret Fortress,2021,1,English,Action,7.9,13+
608,The Demons Curse,2022,1,English,Horror,7.5,16+
609,City Under Siege,2021,1,Spanish,Thriller,7.6,16+
610,The Kingdoms Fall,2020,1,French,Action,7.8,18+
611,The Maze of Time,2021,1,English,Thriller,7.4,18+
612,The Lost Treasure,2021,1,Spanish,Adventure,7.5,13+
613,The Dark Knights Rise,2022,1,English,Action,7.9,13+
614,The Ghost in the Machine,2021,1,French,Sci-Fi,7.6,16+
615,The King's Fury,2021,1,Spanish,Action,7.4,18+
616,Revenge of the Fallen,2020,1,English,Action,7.8,16+
617,The Queens Curse,2022,1,English,Fantasy,7.3,All
618,The Shadow of the Beast,2021,1,Spanish,Thriller,7.5,16+
619,The Pirate's Treasure,2021,1,English,Adventure,7.7,13+
620,The Eternal Journey,2021,1,French,Fantasy,7.4,All
621,The Last Dream,2021,1,Spanish,Action,7.6,13+
622,The Demon Hunter,2021,1,English,Horror,7.2,18+
623,The Kings Dilemma,2020,1,Spanish,Fantasy,7.3,13+
624,Revenge of the Phoenix,2021,1,English,Action,7.5,16+
625,The Red Moon,2021,1,French,Thriller,7.8,18+
626,The Secret of Shadows,2020,1,English,Fantasy,7.2,All
627,The Lost Kingdom,2020,1,Spanish,Action,7.3,13+
628,The Final Legacy,2021,1,English,Drama,7.7,16+
629,The Golden Crown,2021,1,Spanish,Adventure,7.4,13+
630,The Eternal Hero,2020,1,French,Fantasy,7.6,All
631,The Unseen Enemy,2021,1,English,Action,7.8,16+
632,The Ice Tomb,2021,1,Spanish,Action,7.2,18+
633,The Curse of the Pharaoh,2021,1,English,Thriller,7.7,13+
634,The Warrior's Path,2020,1,English,Action,7.4,16+
635,The Queens Secret,2021,1,Spanish,Drama,7.3,16+
636,Chasing the Light,2022,1,English,Adventure,7.6,13+
637,The Last Sorcerer,2020,1,French,Fantasy,7.5,All
638,The Golden Dragon,2022,1,Spanish,Action,7.2,13+
639,The Crimson Sky,2021,1,English,Action,7.9,18+
640,The Warrior's Fate,2021,1,Spanish,Action,7.4,16+
641,The Magic Portal,2021,1,French,Fantasy,7.7,All
642,The Red Fortress,2021,1,English,Action,7.5,13+
643,The Legend of the Sword,2021,1,Spanish,Adventure,7.3,13+
644,The Final Hour,2021,1,English,Thriller,7.4,18+
645,The Dark Magic,2022,1,Spanish,Fantasy,7.8,13+
646,The Secret of Life,2021,1,English,Drama,7.5,All
647,Through the Shadows,2021,1,French,Thriller,7.2,16+
648,The City of Chaos,2020,1,English,Action,7.8,16+
649,The Enchanted Tower,2021,1,English,Fantasy,7.7,All
650,The Rulers Path,2021,1,French,Adventure,7.6,13+
651,Transformers: Revenge of the Fallen,2009,1,English,Action,6.0,13+
652,Avengers: Endgame,2019,1,English,Action,8.4,13+
653,Avatar,2009,1,English,Action,7.8,13+
654,The Dark Knight,2008,1,English,Action,9.0,13+
655,Iron Man,2008,1,English,Action,7.9,13+
656,Spider-Man: No Way Home,2021,1,English,Action,8.3,13+
657,Jurassic World,2015,1,English,Adventure,7.0,13+
658,Guardians of the Galaxy,2014,1,English,Action,8.0,13+
659,Star Wars: The Force Awakens,2015,1,English,Action,7.8,13+
660,The Matrix,1999,1,English,Sci-Fi,8.7,13+
661,Black Panther,2018,1,English,Action,7.3,13+
662,The Lion King,2019,1,English,Animation,6.9,All
663,Wonder Woman,2017,1,English,Action,7.4,13+
664,Avengers: Infinity War,2018,1,English,Action,8.4,13+
665,Shazam!,2019,1,English,Action,7.0,13+
666,Fast & Furious 7,2015,1,English,Action,7.1,13+
667,Deadpool,2016,1,English,Action,8.0,18+
668,Transformers: Dark of the Moon,2011,1,English,Action,6.2,13+
669,Thor: Ragnarok,2017,1,English,Action,7.9,13+
670,Inception,2010,1,English,Sci-Fi,8.8,13+
671,The Avengers,2012,1,English,Action,8.0,13+
672,Avatar: The Way of Water,2022,1,English,Action,7.7,13+
673,Spider-Man: Far From Home,2019,1,English,Action,7.5,13+
674,Guardians of the Galaxy Vol. 2,2017,1,English,Action,7.6,13+
675,Captain America: Civil War,2016,1,English,Action,7.8,13+
676,The Hobbit: An Unexpected Journey,2012,1,English,Adventure,7.8,13+
677,Pacific Rim,2013,1,English,Action,6.9,13+
678,Thor,2011,1,English,Action,7.0,13+
679,Doctor Strange,2016,1,English,Action,7.5,13+
680,Iron Man 3,2013,1,English,Action,7.1,13+
681,Guardians of the Galaxy Vol. 3,2023,1,English,Action,8.0,13+
682,Captain Marvel,2019,1,English,Action,6.8,13+
683,Avatar 2,2022,1,English,Action,7.7,13+
684,Furious 8,2017,1,English,Action,6.6,13+
685,Transformers: The Last Knight,2017,1,English,Action,5.2,13+
686,Justice League,2017,1,English,Action,6.2,13+
687,Iron Man 2,2010,1,English,Action,7.0,13+
688,Captain America: The Winter Soldier,2014,1,English,Action,7.8,13+
689,The Amazing Spider-Man,2012,1,English,Action,6.9,13+
690,The Amazing Spider-Man 2,2014,1,English,Action,6.6,13+
691,Suicide Squad,2016,1,English,Action,6.0,13+
692,Wonder Woman 1984,2020,1,English,Action,5.4,13+
693,X-Men: Days of Future Past,2014,1,English,Action,7.9,13+
694,The Incredibles 2,2018,1,English,Animation,7.6,All
695,Shazam! Fury of the Gods,2023,1,English,Action,6.1,13+
696,The Suicide Squad,2021,1,English,Action,7.2,18+
697,Spider-Man 2,2004,1,English,Action,7.3,13+
698,X-Men: Apocalypse,2016,1,English,Action,6.9,13+
699,Fantastic Four,2005,1,English,Action,5.7,13+
700,Fantastic Four: Rise of the Silver Surfer,2007,1,English,Action,5.6,13+
701,Doctor Strange in the Multiverse of Madness,2022,1,English,Action,6.9,13+
702,The Flash,2023,1,English,Action,6.9,13+
703,Aquaman,2018,1,English,Action,6.9,13+
704,Spider-Man,2002,1,English,Action,7.3,13+
705,Ant-Man,2015,1,English,Action,7.3,13+
706,The Avengers: Age of Ultron,2015,1,English,Action,7.3,13+
707,Captain America: The First Avenger,2011,1,English,Action,6.9,13+
708,X-Men: First Class,2011,1,English,Action,7.7,13+
709,Star Wars: The Last Jedi,2017,1,English,Action,6.9,13+
710,Star Wars: The Rise of Skywalker,2019,1,English,Action,6.5,13+
711,The Chronicles of Narnia: The Lion, The Witch and The Wardrobe,2005,1,English,Adventure,6.9,All
712,The Chronicles of Narnia: Prince Caspian,2008,1,English,Adventure,6.5,All
713,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,1,English,Adventure,6.3,All
714,Captain Marvel 2,2023,1,English,Action,7.2,13+
715,Star Wars: Rogue One,2016,1,English,Action,7.8,13+
716,Star Wars: Solo,2018,1,English,Action,6.9,13+
717,The Mummy,2017,1,English,Action,5.4,13+
718,The Dark Knight Rises,2012,1,English,Action,8.4,13+
719,Suicide Squad 2,2021,1,English,Action,7.2,13+
720,Batman v Superman: Dawn of Justice,2016,1,English,Action,6.4,13+
721,The Lego Movie,2014,1,English,Animation,7.7,All
722,The Lego Batman Movie,2017,1,English,Animation,7.3,All
723,Captain America: Civil War,2016,1,English,Action,7.8,13+
724,Thor: The Dark World,2013,1,English,Action,6.9,13+
725,Thor: Love and Thunder,2022,1,English,Action,6.3,13+
726,Avengers: Age of Ultron,2015,1,English,Action,7.3,13+
727,Deadpool 2,2018,1,English,Action,7.7,18+
728,The Equalizer 2,2018,1,English,Action,6.7,16+
729,Venom,2018,1,English,Action,6.7,13+
730,Venom: Let There Be Carnage,2021,1,English,Action,6.2,13+
731,Spider-Man 3,2007,1,English,Action,6.2,13+
732,X-Men: The Last Stand,2006,1,English,Action,6.7,13+
733,The Wolverine,2013,1,English,Action,6.7,13+
734,Logan,2017,1,English,Action,8.1,18+
735,The Amazing Spider-Man 2,2014,1,English,Action,6.6,13+
736,Transformers,2007,1,English,Action,7.0,13+
737,Transformers: Age of Extinction,2014,1,English,Action,6.0,13+
738,Transformers: The Last Knight,2017,1,English,Action,5.2,13+
739,Shazam,2019,1,English,Action,7.0,13+
740,Furious 7,2015,1,English,Action,7.1,13+
741,F8 of the Furious,2017,1,English,Action,6.6,13+
742,Star Wars: Episode I – The Phantom Menace,1999,1,English,Action,6.5,13+
743,Star Wars: Episode II – Attack of the Clones,2002,1,English,Action,6.6,13+
744,Star Wars: Episode III – Revenge of the Sith,2005,1,English,Action,7.6,13+
745,Iron Man 2,2010,1,English,Action,7.0,13+
746,The Incredible Hulk,2008,1,English,Action,6.7,13+
747,Thor: Ragnarok,2017,1,English,Action,7.9,13+
748,Black Widow,2021,1,English,Action,6.8,13+
749,The Mandalorian,2019,1,English,Sci-Fi,8.8,All
750,Guardians of the Galaxy,2014,1,English,Action,8.0,13+
751,Iron Man 3,2013,1,English,Action,7.1,13+
752,The Dark Knight,2008,1,English,Action,9.0,13+
753,Inception,2010,1,English,Sci-Fi,8.8,13+
754,Star Wars: The Force Awakens,2015,1,English,Action,7.8,13+
755,Star Wars: The Last Jedi,2017,1,English,Action,6.9,13+
756,Star Wars: The Rise of Skywalker,2019,1,English,Action,6.5,13+
757,Avengers: Endgame,2019,1,English,Action,8.4,13+
758,Avengers: Infinity War,2018,1,English,Action,8.4,13+
759,Guardians of the Galaxy Vol. 2,2017,1,English,Action,7.6,13+
760,Guardians of the Galaxy Vol. 3,2023,1,English,Action,8.0,13+
761,Spider-Man: No Way Home,2021,1,English,Action,8.3,13+
762,Spider-Man: Far From Home,2019,1,English,Action,7.5,13+
763,Black Panther,2018,1,English,Action,7.3,13+
764,Captain Marvel,2019,1,English,Action,6.8,13+
765,Doctor Strange,2016,1,English,Action,7.5,13+
766,Thor: Ragnarok,2017,1,English,Action,7.9,13+
767,Thor: Love and Thunder,2022,1,English,Action,6.3,13+
768,Deadpool,2016,1,English,Action,8.0,18+
769,Deadpool 2,2018,1,English,Action,7.7,18+
770,Captain America: Civil War,2016,1,English,Action,7.8,13+
771,Captain America: The Winter Soldier,2014,1,English,Action,7.8,13+
772,Captain America: The First Avenger,2011,1,English,Action,6.9,13+
773,Ant-Man,2015,1,English,Action,7.3,13+
774,Ant-Man and The Wasp,2018,1,English,Action,7.0,13+
775,Iron Man,2008,1,English,Action,7.9,13+
776,Iron Man 2,2010,1,English,Action,7.0,13+
777,Fantastic Four,2005,1,English,Action,5.7,13+
778,Fantastic Four: Rise of the Silver Surfer,2007,1,English,Action,5.6,13+
779,Fantastic Four,2015,1,English,Action,4.3,13+
780,X-Men,2000,1,English,Action,7.4,13+
781,X2: X-Men United,2003,1,English,Action,7.4,13+
782,X-Men: The Last Stand,2006,1,English,Action,6.7,13+
783,X-Men: First Class,2011,1,English,Action,7.7,13+
784,X-Men: Days of Future Past,2014,1,English,Action,7.9,13+
785,X-Men: Apocalypse,2016,1,English,Action,6.9,13+
786,Logan,2017,1,English,Action,8.1,18+
787,The Wolverine,2013,1,English,Action,6.7,13+
788,Deadpool 2,2018,1,English,Action,7.7,18+
789,The Amazing Spider-Man,2012,1,English,Action,6.9,13+
790,The Amazing Spider-Man 2,2014,1,English,Action,6.6,13+
791,Spider-Man,2002,1,English,Action,7.3,13+
792,Spider-Man 2,2004,1,English,Action,7.3,13+
793,Spider-Man 3,2007,1,English,Action,6.2,13+
794,Batman Begins,2005,1,English,Action,8.2,13+
795,The Dark Knight Rises,2012,1,English,Action,8.4,13+
796,Batman v Superman: Dawn of Justice,2016,1,English,Action,6.4,13+
797,Wonder Woman,2017,1,English,Action,7.4,13+
798,Wonder Woman 1984,2020,1,English,Action,5.4,13+
799,The Suicide Squad,2021,1,English,Action,7.2,18+
800,Suicide Squad,2016,1,English,Action,6.0,13+
801,Aquaman,2018,1,English,Action,6.9,13+
802,Shazam!,2019,1,English,Action,7.0,13+
803,Shazam! Fury of the Gods,2023,1,English,Action,6.1,13+
804,The Flash,2023,1,English,Action,6.9,13+
805,Justice League,2017,1,English,Action,6.2,13+
806,Green Lantern,2011,1,English,Action,5.5,13+
807,Venom,2018,1,English,Action,6.7,13+
808,Venom: Let There Be Carnage,2021,1,English,Action,6.2,13+
809,Shazam,2019,1,English,Action,7.0,13+
810,Spider-Man: Into the Spider-Verse,2018,1,English,Animation,8.4,All
811,Guardians of the Galaxy,2014,1,English,Action,8.0,13+
812,Guardians of the Galaxy Vol. 3,2023,1,English,Action,8.0,13+
813,The Lego Movie,2014,1,English,Animation,7.7,All
814,The Lego Batman Movie,2017,1,English,Animation,7.3,All
815,The Incredibles 2,2018,1,English,Animation,7.6,All
816,Spider-Man: Across the Spider-Verse,2023,1,English,Animation,8.6,All
817,Star Wars: Rogue One,2016,1,English,Action,7.8,13+
818,Star Wars: Solo,2018,1,English,Action,6.9,13+
819,The Mandalorian,2019,1,English,Sci-Fi,8.8,All
820,Avatar: The Way of Water,2022,1,English,Action,7.7,13+
821,Avatar,2009,1,English,Action,7.8,13+
822,Transformers: Revenge of the Fallen,2009,1,English,Action,6.0,13+
823,Transformers: Dark of the Moon,2011,1,English,Action,6.2,13+
824,Transformers: Age of Extinction,2014,1,English,Action,6.0,13+
825,Transformers: The Last Knight,2017,1,English,Action,5.2,13+
826,Furious 7,2015,1,English,Action,7.1,13+
827,Furious 8,2017,1,English,Action,6.6,13+
828,The Fast and the Furious,2001,1,English,Action,6.8,13+
829,2 Fast 2 Furious,2003,1,English,Action,5.9,13+
830,Fast & Furious 6,2013,1,English,Action,7.0,13+
831,Furious 9,2021,1,English,Action,5.2,13+
832,The Fate of the Furious,2017,1,English,Action,6.6,13+
833,Fast X,2023,1,English,Action,5.6,13+
834,Transformers,2007,1,English,Action,7.0,13+
835,The Dark Knight,2008,1,English,Action,9.0,13+
836,The Matrix,1999,1,English,Sci-Fi,8.7,13+
837,The Matrix Reloaded,2003,1,English,Sci-Fi,7.2,13+
838,The Matrix Revolutions,2003,1,English,Sci-Fi,6.8,13+
839,Jurassic World,2015,1,English,Adventure,7.0,13+
840,Jurassic World: Fallen Kingdom,2018,1,English,Adventure,6.2,13+
841,Jurassic World: Dominion,2022,1,English,Adventure,6.0,13+
842,King Kong,2005,1,English,Adventure,7.2,13+
843,Godzilla: King of the Monsters,2019,1,English,Action,6.0,13+
844,Godzilla vs. Kong,2021,1,English,Action,6.3,13+
845,Pacific Rim,2013,1,English,Action,6.9,13+
846,Pacific Rim: Uprising,2018,1,English,Action,5.6,13+
847,Edge of Tomorrow,2014,1,English,Sci-Fi,7.9,13+
848,Interstellar,2014,1,English,Sci-Fi,8.6,13+
849,Looper,2012,1,English,Sci-Fi,6.9,13+
850,Dredd,2012,1,English,Action,7.1,13+
851,Naruto: The Movie,2004,1,Japanese,Animation,7.2,13+
852,Naruto Shippuden: The Movie,2007,1,Japanese,Animation,7.3,13+
853,One Piece Film: Z,2012,1,Japanese,Animation,7.9,13+
854,Dragon Ball Z: Battle of Gods,2013,1,Japanese,Animation,7.1,13+
855,Dragon Ball Z: Resurrection 'F',2015,1,Japanese,Animation,7.0,13+
856,My Neighbor Totoro,1988,1,Japanese,Animation,8.2,All
857,Spirited Away,2001,1,Japanese,Animation,8.6,All
858,Princess Mononoke,1997,1,Japanese,Animation,8.4,13+
859,Howl's Moving Castle,2004,1,Japanese,Animation,8.2,All
860,Kiki's Delivery Service,1989,1,Japanese,Animation,7.9,All
861,Ponyo,2008,1,Japanese,Animation,7.7,All
862,The Wind Rises,2013,1,Japanese,Animation,7.8,All
863,The Tale of the Princess Kaguya,2013,1,Japanese,Animation,8.0,All
864,Your Name,2016,1,Japanese,Animation,8.4,All
865,Weathering With You,2019,1,Japanese,Animation,7.5,All
866,A Silent Voice,2016,1,Japanese,Animation,8.1,All
867,Akira,1988,1,Japanese,Animation,8.0,13+
868,Ghost in the Shell,1995,1,Japanese,Animation,8.0,13+
869,My Hero Academia: Two Heroes,2018,1,Japanese,Animation,7.5,13+
870,My Hero Academia: Heroes Rising,2019,1,Japanese,Animation,7.8,13+
871,Dragon Ball Super: Broly,2018,1,Japanese,Animation,8.1,13+
872,Attack on Titan: The Movie,2015,1,Japanese,Animation,5.4,13+
873,Neon Genesis Evangelion: The End of Evangelion,1997,1,Japanese,Animation,8.5,13+
874,Neon Genesis Evangelion: Death & Rebirth,1997,1,Japanese,Animation,7.4,13+
875,The Secret World of Arrietty,2010,1,Japanese,Animation,7.6,All
876,Mewtwo Strikes Back,1998,1,Japanese,Animation,6.4,All
877,The Simpsons Movie,2007,1,English,Animation,7.3,All
878,Bee Movie,2007,1,English,Animation,6.1,All
879,Shrek,2001,1,English,Animation,7.9,All
880,Shrek 2,2004,1,English,Animation,7.3,All
881,Shrek the Third,2007,1,English,Animation,6.1,All
882,Shrek Forever After,2010,1,English,Animation,6.3,All
883,Kung Fu Panda,2008,1,English,Animation,7.6,All
884,Kung Fu Panda 2,2011,1,English,Animation,7.3,All
885,Kung Fu Panda 3,2016,1,English,Animation,6.1,All
886,How to Train Your Dragon,2010,1,English,Animation,8.1,All
887,How to Train Your Dragon 2,2014,1,English,Animation,7.8,All
888,How to Train Your Dragon: The Hidden World,2019,1,English,Animation,7.5,All
889,Trolls,2016,1,English,Animation,6.5,All
890,Trolls World Tour,2020,1,English,Animation,6.1,All
891,Zootopia,2016,1,English,Animation,8.0,All
892,Frozen,2013,1,English,Animation,7.4,All
893,Frozen II,2019,1,English,Animation,6.8,All
894,Big Hero 6,2014,1,English,Animation,7.8,All
895,Ratatouille,2007,1,English,Animation,8.0,All
896,Wreck-It Ralph,2012,1,English,Animation,7.7,All
897,Ralph Breaks the Internet,2018,1,English,Animation,6.3,All
898,Moana,2016,1,English,Animation,7.6,All
899,Coco,2017,1,English,Animation,8.4,All
900,The Incredibles,2004,1,English,Animation,8.0,All
901,The Incredibles 2,2018,1,English,Animation,7.6,All
902,Despicable Me,2010,1,English,Animation,7.6,All
903,Despicable Me 2,2013,1,English,Animation,7.4,All
904,Despicable Me 3,2017,1,English,Animation,6.3,All
905,Minions,2015,1,English,Animation,6.4,All
906,Minions: The Rise of Gru,2022,1,English,Animation,6.2,All
907,The Lion King,1994,1,English,Animation,8.5,All
908,The Lion King (2019),2019,1,English,Animation,6.9,All
909,Aladdin,1992,1,English,Animation,8.0,All
910,Aladdin (2019),2019,1,English,Animation,6.9,All
911,Bambi,1942,1,English,Animation,7.3,All
912,Beauty and the Beast,1991,1,English,Animation,8.0,All
913,The Little Mermaid,1989,1,English,Animation,7.6,All
914,101 Dalmatians,1961,1,English,Animation,7.3,All
915,Peter Pan,1953,1,English,Animation,7.3,All
916,Pinocchio,1940,1,English,Animation,7.9,All
917,Dumbo,1941,1,English,Animation,6.9,All
918,Cinderella,1950,1,English,Animation,7.3,All
919,Snow White and the Seven Dwarfs,1937,1,English,Animation,7.6,All
920,Bambi,1942,1,English,Animation,7.3,All
921,Tangled,2010,1,English,Animation,7.7,All
922,The Princess and the Frog,2009,1,English,Animation,7.1,All
923,The Sword in the Stone,1963,1,English,Animation,7.2,All
924,Robin Hood,1973,1,English,Animation,7.6,All
925,The Fox and the Hound,1981,1,English,Animation,7.3,All
926,The Rescuers,1977,1,English,Animation,6.9,All
927,The Great Mouse Detective,1986,1,English,Animation,7.2,All
928,Oliver & Company,1988,1,English,Animation,6.7,All
929,Atlantis: The Lost Empire,2001,1,English,Animation,6.9,All
930,Lilo & Stitch,2002,1,English,Animation,7.3,All
